#U1	H	C	F	X	E	A	L	M	B	G	D
0	4.5	4.5	4.7	5.0	5.2	5.5	5.7	5.9	6.0	6.5	7.0
0.02	0.09	0.12	0.06	0.1	0.07	0.08	0.08	0.16	0.11	0.09	0.24
0.04	0.09	0.14	0.06	0.1	0.07	0.09	0.08	0.16	0.12	0.09	0.23
0.07	0.1	0.14	0.08	0.12	0.08	0.09	0.08	0.15	0.13	0.11	0.22
0.09	0.1	0.14	0.08	0.12	0.08	0.09	0.08	0.15	0.13	0.11	0.22
0.12	0.1	0.17	0.08	0.12	0.08	0.11	0.08	0.14	0.13	0.11	0.23
0.14	0.11	0.17	0.1	0.15	0.08	0.11	0.08	0.13	0.15	0.12	0.22
0.17	0.12	0.17	0.1	0.15	0.09	0.11	0.08	0.14	0.15	0.13	0.21
0.19	0.12	0.2	0.1	0.15	0.09	0.13	0.08	0.13	0.15	0.13	0.22
0.21	0.12	0.2	0.1	0.16	0.09	0.13	0.08	0.12	0.17	0.13	0.21
0.24	0.14	0.2	0.11	0.16	0.11	0.13	0.09	0.12	0.17	0.15	0.2
0.26	0.14	0.22	0.11	0.16	0.11	0.14	0.09	0.11	0.17	0.15	0.22
0.29	0.14	0.22	0.11	0.16	0.1	0.15	0.09	0.11	0.19	0.15	0.21
0.31	0.16	0.22	0.12	0.18	0.11	0.15	0.09	0.1	0.19	0.16	0.19
0.34	0.16	0.22	0.12	0.18	0.11	0.15	0.09	0.1	0.19	0.16	0.2
0.36	0.16	0.25	0.12	0.18	0.11	0.16	0.09	0.09	0.2	0.16	0.21
0.39	0.17	0.23	0.14	0.2	0.11	0.15	0.09	0.09	0.19	0.18	0.19
0.41	0.15	0.23	0.13	0.19	0.11	0.15	0.09	0.11	0.19	0.16	0.19
0.43	0.15	0.27	0.13	0.19	0.11	0.17	0.09	0.1	0.19	0.16	0.21
0.46	0.15	0.24	0.15	0.21	0.11	0.16	0.09	0.1	0.2	0.16	0.2
0.48	0.16	0.24	0.12	0.19	0.12	0.16	0.1	0.11	0.19	0.15	0.19
0.51	0.15	0.26	0.12	0.18	0.11	0.17	0.09	0.1	0.19	0.15	0.22
0.53	0.15	0.24	0.13	0.19	0.11	0.15	0.09	0.1	0.21	0.15	0.22
0.56	0.17	0.24	0.13	0.18	0.13	0.15	0.1	0.1	0.19	0.17	0.19
0.58	0.16	0.24	0.13	0.18	0.11	0.15	0.09	0.09	0.19	0.16	0.21
0.61	0.16	0.24	0.13	0.18	0.11	0.15	0.09	0.09	0.2	0.16	0.21
0.63	0.18	0.24	0.15	0.19	0.13	0.15	0.09	0.09	0.19	0.18	0.19
0.65	0.16	0.24	0.14	0.17	0.12	0.15	0.09	0.1	0.19	0.16	0.2
0.68	0.16	0.26	0.14	0.17	0.12	0.16	0.09	0.09	0.19	0.16	0.21
0.7	0.16	0.24	0.15	0.2	0.12	0.15	0.09	0.09	0.2	0.17	0.2
0.73	0.16	0.24	0.14	0.18	0.12	0.15	0.1	0.1	0.19	0.15	0.18
0.75	0.16	0.27	0.14	0.18	0.12	0.17	0.09	0.09	0.19	0.15	0.21
0.78	0.16	0.23	0.14	0.2	0.12	0.15	0.09	0.09	0.21	0.15	0.21
0.8	0.17	0.23	0.13	0.18	0.13	0.15	0.11	0.1	0.19	0.16	0.19
0.83	0.16	0.25	0.13	0.18	0.13	0.16	0.1	0.09	0.19	0.15	0.22
0.85	0.16	0.24	0.13	0.18	0.13	0.15	0.1	0.09	0.21	0.15	0.22
0.87	0.18	0.24	0.14	0.18	0.14	0.15	0.11	0.09	0.19	0.17	0.19
0.9	0.16	0.24	0.13	0.17	0.12	0.15	0.09	0.09	0.19	0.15	0.21
0.92	0.16	0.25	0.13	0.17	0.12	0.15	0.09	0.09	0.2	0.15	0.22
0.95	0.17	0.24	0.16	0.19	0.13	0.14	0.09	0.09	0.2	0.17	0.21
0.97	0.16	0.24	0.14	0.18	0.13	0.14	0.09	0.1	0.19	0.15	0.2
1	0.16	0.27	0.14	0.18	0.13	0.16	0.09	0.09	0.19	0.15	0.22
1.02	0.16	0.24	0.15	0.2	0.13	0.15	0.09	0.09	0.21	0.15	0.21
1.05	0.17	0.24	0.13	0.17	0.14	0.15	0.1	0.11	0.19	0.15	0.19
1.07	0.16	0.26	0.13	0.17	0.13	0.16	0.1	0.1	0.19	0.15	0.23
1.09	0.16	0.24	0.14	0.18	0.13	0.14	0.1	0.1	0.22	0.15	0.23
1.12	0.19	0.24	0.13	0.17	0.15	0.14	0.11	0.1	0.19	0.16	0.2
1.14	0.17	0.24	0.13	0.17	0.14	0.15	0.09	0.1	0.19	0.15	0.22
1.17	0.17	0.24	0.13	0.17	0.14	0.14	0.09	0.1	0.21	0.15	0.22
1.19	0.18	0.24	0.14	0.18	0.15	0.14	0.09	0.1	0.19	0.17	0.2
1.22	0.16	0.24	0.13	0.17	0.13	0.14	0.09	0.1	0.19	0.15	0.21
1.24	0.16	0.26	0.13	0.17	0.13	0.16	0.09	0.1	0.2	0.15	0.23
1.26	0.17	0.24	0.15	0.2	0.14	0.15	0.09	0.1	0.2	0.16	0.22
1.29	0.16	0.24	0.13	0.18	0.14	0.15	0.09	0.12	0.19	0.14	0.21
1.31	0.16	0.27	0.13	0.18	0.14	0.17	0.09	0.11	0.19	0.15	0.23
1.34	0.16	0.24	0.14	0.19	0.14	0.15	0.09	0.11	0.21	0.15	0.23
1.36	0.18	0.24	0.13	0.16	0.16	0.15	0.1	0.12	0.19	0.15	0.21
1.39	0.17	0.25	0.13	0.16	0.15	0.16	0.09	0.11	0.19	0.15	0.24
1.41	0.17	0.24	0.13	0.17	0.15	0.14	0.09	0.11	0.21	0.15	0.24
1.44	0.19	0.24	0.14	0.17	0.16	0.14	0.1	0.11	0.19	0.16	0.21
1.46	0.17	0.24	0.14	0.17	0.14	0.15	0.09	0.1	0.19	0.15	0.23
